episode,total_reward,total_time_steps,num_agents,n_packages,max_steps,map,lr_actor,lr_critic
98,-0.06999999999999999,100,5,20,1000,map1.txt,0.0001,0.001
99,-0.07,100,5,20,1000,map1.txt,0.0001,0.001
100,-0.060000000000000005,100,5,20,1000,map1.txt,0.0001,0.001
101,-0.11,100,5,20,1000,map1.txt,0.0001,0.001
102,-0.09,100,5,20,1000,map1.txt,0.0001,0.001
103,-0.09999999999999998,100,5,20,1000,map1.txt,0.0001,0.001
104,-0.14,100,5,20,1000,map1.txt,0.0001,0.001
105,-0.16,100,5,20,1000,map1.txt,0.0001,0.001
106,-0.09,100,5,20,1000,map1.txt,0.0001,0.001
107,-0.07,100,5,20,1000,map1.txt,0.0001,0.001
108,-0.10999999999999999,100,5,20,1000,map1.txt,0.0001,0.001
109,-0.03,100,5,20,1000,map1.txt,0.0001,0.001
110,-0.07,100,5,20,1000,map1.txt,0.0001,0.001
111,-0.05,100,5,20,1000,map1.txt,0.0001,0.001
112,-0.02,100,5,20,1000,map1.txt,0.0001,0.001
113,-0.11,100,5,20,1000,map1.txt,0.0001,0.001
114,-0.11,100,5,20,1000,map1.txt,0.0001,0.001
115,-0.09,100,5,20,1000,map1.txt,0.0001,0.001
116,-0.11,100,5,20,1000,map1.txt,0.0001,0.001
117,-0.060000000000000005,100,5,20,1000,map1.txt,0.0001,0.001
118,-0.07,100,5,20,1000,map1.txt,0.0001,0.001
119,-0.09,100,5,20,1000,map1.txt,0.0001,0.001
120,-0.10999999999999999,100,5,20,1000,map1.txt,0.0001,0.001
121,-0.11999999999999998,100,5,20,1000,map1.txt,0.0001,0.001
122,-0.12,100,5,20,1000,map1.txt,0.0001,0.001
123,-0.06,100,5,20,1000,map1.txt,0.0001,0.001
124,-0.05,100,5,20,1000,map1.txt,0.0001,0.001
125,-0.11,100,5,20,1000,map1.txt,0.0001,0.001
126,-0.14,100,5,20,1000,map1.txt,0.0001,0.001
127,-0.01,100,5,20,1000,map1.txt,0.0001,0.001
128,-0.060000000000000005,100,5,20,1000,map1.txt,0.0001,0.001
129,-0.15000000000000002,100,5,20,1000,map1.txt,0.0001,0.001
130,-0.14,100,5,20,1000,map1.txt,0.0001,0.001
131,-0.05,100,5,20,1000,map1.txt,0.0001,0.001
132,-0.060000000000000005,100,5,20,1000,map1.txt,0.0001,0.001
133,-0.09999999999999999,100,5,20,1000,map1.txt,0.0001,0.001
134,-0.10999999999999999,100,5,20,1000,map1.txt,0.0001,0.001
135,-0.17999999999999997,100,5,20,1000,map1.txt,0.0001,0.001
136,-0.09999999999999999,100,5,20,1000,map1.txt,0.0001,0.001
137,-0.04,100,5,20,1000,map1.txt,0.0001,0.001
138,-0.03,100,5,20,1000,map1.txt,0.0001,0.001
139,-0.05,100,5,20,1000,map1.txt,0.0001,0.001
140,-0.08999999999999998,100,5,20,1000,map1.txt,0.0001,0.001
141,-0.15,100,5,20,1000,map1.txt,0.0001,0.001
142,-0.15000000000000002,100,5,20,1000,map1.txt,0.0001,0.001
143,-0.02,100,5,20,1000,map1.txt,0.0001,0.001
144,-0.13,100,5,20,1000,map1.txt,0.0001,0.001
145,-0.060000000000000005,100,5,20,1000,map1.txt,0.0001,0.001
146,-0.14,100,5,20,1000,map1.txt,0.0001,0.001
147,-0.09,100,5,20,1000,map1.txt,0.0001,0.001
148,-0.11999999999999998,100,5,20,1000,map1.txt,0.0001,0.001
149,-0.16,100,5,20,1000,map1.txt,0.0001,0.001
150,-0.05,100,5,20,1000,map1.txt,0.0001,0.001
151,-0.13,100,5,20,1000,map1.txt,0.0001,0.001
152,-0.1,100,5,20,1000,map1.txt,0.0001,0.001
153,-0.09,100,5,20,1000,map1.txt,0.0001,0.001
154,-0.01,100,5,20,1000,map1.txt,0.0001,0.001
155,-0.12,100,5,20,1000,map1.txt,0.0001,0.001
156,-0.060000000000000005,100,5,20,1000,map1.txt,0.0001,0.001
157,-0.02,100,5,20,1000,map1.txt,0.0001,0.001
158,-0.06999999999999999,100,5,20,1000,map1.txt,0.0001,0.001
159,-0.10999999999999999,100,5,20,1000,map1.txt,0.0001,0.001
160,-0.09000000000000001,100,5,20,1000,map1.txt,0.0001,0.001
161,-0.08,100,5,20,1000,map1.txt,0.0001,0.001
162,-0.09999999999999998,100,5,20,1000,map1.txt,0.0001,0.001
163,-0.060000000000000005,100,5,20,1000,map1.txt,0.0001,0.001
164,-0.12,100,5,20,1000,map1.txt,0.0001,0.001
165,-0.05,100,5,20,1000,map1.txt,0.0001,0.001
166,-0.02,100,5,20,1000,map1.txt,0.0001,0.001
167,-0.11,100,5,20,1000,map1.txt,0.0001,0.001
168,-0.1,100,5,20,1000,map1.txt,0.0001,0.001
169,-0.14,100,5,20,1000,map1.txt,0.0001,0.001
170,-0.05,100,5,20,1000,map1.txt,0.0001,0.001
171,-0.060000000000000005,100,5,20,1000,map1.txt,0.0001,0.001
172,-0.09,100,5,20,1000,map1.txt,0.0001,0.001
173,-0.16,100,5,20,1000,map1.txt,0.0001,0.001
174,-0.09,100,5,20,1000,map1.txt,0.0001,0.001
175,-0.02,100,5,20,1000,map1.txt,0.0001,0.001
176,-0.08,100,5,20,1000,map1.txt,0.0001,0.001
177,-0.13,100,5,20,1000,map1.txt,0.0001,0.001
178,-0.12000000000000001,100,5,20,1000,map1.txt,0.0001,0.001
179,-0.09,100,5,20,1000,map1.txt,0.0001,0.001
180,-0.08,100,5,20,1000,map1.txt,0.0001,0.001
181,-0.13,100,5,20,1000,map1.txt,0.0001,0.001
182,-0.09,100,5,20,1000,map1.txt,0.0001,0.001
183,-0.05,100,5,20,1000,map1.txt,0.0001,0.001
184,-0.09,100,5,20,1000,map1.txt,0.0001,0.001
185,-0.04,100,5,20,1000,map1.txt,0.0001,0.001
186,-0.12,100,5,20,1000,map1.txt,0.0001,0.001
187,-0.15,100,5,20,1000,map1.txt,0.0001,0.001
188,-0.14,100,5,20,1000,map1.txt,0.0001,0.001
189,-0.14,100,5,20,1000,map1.txt,0.0001,0.001
190,-0.15000000000000002,100,5,20,1000,map1.txt,0.0001,0.001
191,-0.11,100,5,20,1000,map1.txt,0.0001,0.001
192,-0.13,100,5,20,1000,map1.txt,0.0001,0.001
193,-0.05,100,5,20,1000,map1.txt,0.0001,0.001
194,-0.10999999999999999,100,5,20,1000,map1.txt,0.0001,0.001
195,-0.11,100,5,20,1000,map1.txt,0.0001,0.001
196,-0.05,100,5,20,1000,map1.txt,0.0001,0.001
197,-0.060000000000000005,100,5,20,1000,map1.txt,0.0001,0.001
198,-0.03,100,5,20,1000,map1.txt,0.0001,0.001
199,-0.08,100,5,20,1000,map1.txt,0.0001,0.001
200,-0.16,100,5,20,1000,map1.txt,0.0001,0.001
201,-0.08,100,5,20,1000,map1.txt,0.0001,0.001
202,-0.09999999999999999,100,5,20,1000,map1.txt,0.0001,0.001
203,-0.11999999999999998,100,5,20,1000,map1.txt,0.0001,0.001
204,-0.07,100,5,20,1000,map1.txt,0.0001,0.001
205,-0.11,100,5,20,1000,map1.txt,0.0001,0.001
206,-0.05,100,5,20,1000,map1.txt,0.0001,0.001
207,-0.08999999999999998,100,5,20,1000,map1.txt,0.0001,0.001
208,-0.11,100,5,20,1000,map1.txt,0.0001,0.001
209,-0.13,100,5,20,1000,map1.txt,0.0001,0.001
210,-0.09,100,5,20,1000,map1.txt,0.0001,0.001
211,-0.07,100,5,20,1000,map1.txt,0.0001,0.001
212,-0.08,100,5,20,1000,map1.txt,0.0001,0.001
213,-0.02,100,5,20,1000,map1.txt,0.0001,0.001
214,-0.07,100,5,20,1000,map1.txt,0.0001,0.001
215,-0.05,100,5,20,1000,map1.txt,0.0001,0.001
216,-0.03,100,5,20,1000,map1.txt,0.0001,0.001
217,-0.10999999999999999,100,5,20,1000,map1.txt,0.0001,0.001
218,-0.05,100,5,20,1000,map1.txt,0.0001,0.001
219,-0.08,100,5,20,1000,map1.txt,0.0001,0.001
220,-0.07,100,5,20,1000,map1.txt,0.0001,0.001
221,-0.12000000000000001,100,5,20,1000,map1.txt,0.0001,0.001
222,-0.04,100,5,20,1000,map1.txt,0.0001,0.001
223,-0.09999999999999999,100,5,20,1000,map1.txt,0.0001,0.001
224,-0.060000000000000005,100,5,20,1000,map1.txt,0.0001,0.001
225,-0.02,100,5,20,1000,map1.txt,0.0001,0.001
226,-0.04,100,5,20,1000,map1.txt,0.0001,0.001
227,-0.03,100,5,20,1000,map1.txt,0.0001,0.001
228,-0.12999999999999998,100,5,20,1000,map1.txt,0.0001,0.001
229,-0.14,100,5,20,1000,map1.txt,0.0001,0.001
230,-0.01,100,5,20,1000,map1.txt,0.0001,0.001
231,-0.07,100,5,20,1000,map1.txt,0.0001,0.001
232,-0.15000000000000002,100,5,20,1000,map1.txt,0.0001,0.001
233,-0.07,100,5,20,1000,map1.txt,0.0001,0.001
234,-0.11,100,5,20,1000,map1.txt,0.0001,0.001
235,-0.10999999999999999,100,5,20,1000,map1.txt,0.0001,0.001
236,-0.06999999999999999,100,5,20,1000,map1.txt,0.0001,0.001
237,-0.09999999999999999,100,5,20,1000,map1.txt,0.0001,0.001
238,-0.08,100,5,20,1000,map1.txt,0.0001,0.001
239,-0.09,100,5,20,1000,map1.txt,0.0001,0.001
240,-0.04,100,5,20,1000,map1.txt,0.0001,0.001
241,-0.13999999999999999,100,5,20,1000,map1.txt,0.0001,0.001
242,-0.09999999999999999,100,5,20,1000,map1.txt,0.0001,0.001
243,-0.19,100,5,20,1000,map1.txt,0.0001,0.001
244,-0.07,100,5,20,1000,map1.txt,0.0001,0.001
245,-0.16,100,5,20,1000,map1.txt,0.0001,0.001
246,-0.05,100,5,20,1000,map1.txt,0.0001,0.001
247,-0.07,100,5,20,1000,map1.txt,0.0001,0.001
248,-0.08,100,5,20,1000,map1.txt,0.0001,0.001
249,-0.09999999999999999,100,5,20,1000,map1.txt,0.0001,0.001
250,-0.11,100,5,20,1000,map1.txt,0.0001,0.001
251,-0.060000000000000005,100,5,20,1000,map1.txt,0.0001,0.001
252,-0.12,100,5,20,1000,map1.txt,0.0001,0.001
253,-0.18,100,5,20,1000,map1.txt,0.0001,0.001
254,-0.05,100,5,20,1000,map1.txt,0.0001,0.001
255,-0.12,100,5,20,1000,map1.txt,0.0001,0.001
256,-0.09000000000000001,100,5,20,1000,map1.txt,0.0001,0.001
257,-0.08999999999999998,100,5,20,1000,map1.txt,0.0001,0.001
258,-0.17999999999999997,100,5,20,1000,map1.txt,0.0001,0.001
259,-0.13,100,5,20,1000,map1.txt,0.0001,0.001
260,-0.14,100,5,20,1000,map1.txt,0.0001,0.001
261,-0.02,100,5,20,1000,map1.txt,0.0001,0.001
262,-0.09,100,5,20,1000,map1.txt,0.0001,0.001
263,-0.08,100,5,20,1000,map1.txt,0.0001,0.001
264,-0.11,100,5,20,1000,map1.txt,0.0001,0.001
265,-0.13,100,5,20,1000,map1.txt,0.0001,0.001
266,-0.09,100,5,20,1000,map1.txt,0.0001,0.001
267,-0.15000000000000002,100,5,20,1000,map1.txt,0.0001,0.001
268,-0.060000000000000005,100,5,20,1000,map1.txt,0.0001,0.001
269,-0.14,100,5,20,1000,map1.txt,0.0001,0.001
270,-0.05,100,5,20,1000,map1.txt,0.0001,0.001
